source,target
-1.00124E+12,5236276863
-1.00124E+12,334984620
-1.00124E+12,338515245
-1.00124E+12,1356592302
-1.00124E+12,5072087257
-1.00124E+12,5211413119
-1.00124E+12,1870838830
-1.00124E+12,1492853479
-1.00124E+12,344391276
-1.00124E+12,373075004
-1.00124E+12,674974527
-1.00124E+12,771694731
-1.00124E+12,1298952997
-1.00124E+12,1702940871
-1.00124E+12,379050654
-1.00124E+12,386591040
-1.00124E+12,402458060
-1.00124E+12,443660291
-1.00124E+12,833521955
-1.00124E+12,995081690
-1.00124E+12,5338601985
-1.00124E+12,333422169
-1.00124E+12,761006746
-1.00124E+12,5058520791
-1.00124E+12,320431959
-1.00124E+12,551963176
-1.00124E+12,738636596
-1.00124E+12,1047055846
-1.00124E+12,346061596
-1.00124E+12,1984381372
-1.00124E+12,5017302002
-1.00124E+12,5264407414
-1.00124E+12,391142763
-1.00124E+12,440065695
-1.00124E+12,577035156
-1.00124E+12,663460155
-1.00124E+12,1288616086
-1.00124E+12,1515674713
-1.00124E+12,1690758942
-1.00124E+12,1703612622
-1.00124E+12,318517717
-1.00124E+12,363247927
-1.00124E+12,373321505
-1.00124E+12,410488148
-1.00124E+12,431522251
-1.00124E+12,495667506
-1.00124E+12,574006438
-1.00124E+12,594219756
-1.00124E+12,1285947862
-1.00124E+12,5238360364
-1.00124E+12,394076336
-1.00124E+12,342163799
-1.00124E+12,394810226
-1.00124E+12,843409183
-1.00124E+12,294959450
-1.00124E+12,1335474151
-1.00124E+12,390240791
-1.00124E+12,5129364790
-1.00124E+12,1857826881
-1.00124E+12,366427552
-1.00124E+12,1266687523
-1.00124E+12,5232065740
-1.00124E+12,1823380053
-1.00124E+12,689868777
-1.00124E+12,1557873991
-1.00124E+12,505613615
-1.00124E+12,5328619502
-1.00124E+12,519630365
-1.00124E+12,1243132017
-1.00124E+12,5321013420
-1.00124E+12,1916507368
-1.00124E+12,1618295546
-1.00124E+12,5267549738
-1.00124E+12,353760913
-1.00124E+12,1988888661
-1.00124E+12,372627966
-1.00124E+12,5053858391
-1.00124E+12,1274013574
-1.00124E+12,867742357
-1.00124E+12,5119337388
-1.00124E+12,1060862688
-1.00124E+12,973993149
-1.00124E+12,1755982619
-1.00124E+12,1422848980
-1.00124E+12,5141946229
-1.00124E+12,758284907
-1.00124E+12,5287891765
-1.00124E+12,310177171
-1.00124E+12,5194791617
-1.00124E+12,999670332
-1.00124E+12,5313122885
-1.00124E+12,5148319065
-1.00124E+12,5185053772
-1.00124E+12,429361048
-1.00124E+12,433867172
-1.00124E+12,709446897
-1.00124E+12,444095290
-1.00124E+12,5337815187
-1.00124E+12,828020213
-1.00124E+12,5321598134
-1.00124E+12,1426032598
-1.00124E+12,5358105219
-1.00124E+12,357880690
-1.00124E+12,706945210
-1.00124E+12,1644412386
-1.00124E+12,499732872
-1.00124E+12,723719835
-1.00124E+12,367458221
-1.00124E+12,1232706512
-1.00124E+12,5092441812
-1.00124E+12,1510999134
-1.00124E+12,762561928
-1.00124E+12,408915618
-1.00124E+12,5232539653
-1.00124E+12,1439125627
-1.00124E+12,5355734149
-1.00124E+12,5341236677
-1.00124E+12,460290919
-1.00124E+12,2050104145
-1.00124E+12,668819794
-1.00124E+12,357217621
-1.00124E+12,5166117203
-1.00124E+12,341969381
-1.00124E+12,1382676717
-1.00124E+12,2003038240
-1.00124E+12,378199830
-1.00124E+12,5326459890
-1.00124E+12,5346552281
-1.00124E+12,5210162587
-1.00124E+12,562772270
-1.00124E+12,1042729393
-1.00124E+12,5318445445
-1.00124E+12,394192122
-1.00124E+12,430674694
-1.00124E+12,309362587
-1.00124E+12,5375269359
-1.00124E+12,5391045480
-1.00124E+12,592258231
-1.00124E+12,1619561884
-1.00124E+12,5061017925
-1.00124E+12,1761249559
-1.00124E+12,676829945
-1.00124E+12,5150579272
-1.00124E+12,1406968861
-1.00124E+12,584798318
-1.00124E+12,1051171292
-1.00124E+12,1965847283
-1.00124E+12,5282791078
-1.00124E+12,432016924
-1.00124E+12,1962477047
-1.00124E+12,1813744575
-1.00124E+12,788643432
-1.00124E+12,5143300915
-1.00124E+12,589899417
-1.00124E+12,371488628
-1.00124E+12,302249687
-1.00124E+12,738200548
-1.00124E+12,594264710
-1.00124E+12,461809228
-1.00124E+12,615223730
-1.00124E+12,371486898
-1.00124E+12,1417352358
-1.00124E+12,338937837
-1.00124E+12,451239642
-1.00124E+12,1966148088
-1.00124E+12,474914253
-1.00124E+12,969174877
-1.00124E+12,1187206844
-1.00124E+12,854667043
-1.00124E+12,1136872993
-1.00124E+12,5236507670
-1.00124E+12,417522930
-1.00124E+12,349591579
-1.00124E+12,5240200905
-1.00124E+12,5136415500
-1.00124E+12,1758530580
-1.00124E+12,5190613466
-1.00124E+12,5309947083
-1.00124E+12,1199687159
-1.00124E+12,1317555708
-1.00124E+12,2055667235
-1.00124E+12,678820912
-1.00124E+12,672220778
-1.00124E+12,5151658370
-1.00124E+12,622634045
-1.00124E+12,963754347
-1.00124E+12,5166877617
-1.00124E+12,515148863
-1.00124E+12,421665463
-1.00124E+12,1608357477
-1.00124E+12,1186246538
